
 CASO : 303 -> ['X2', 'X1', 'X4', 'X1', 'X4', 'X1']


 CASO : 304 -> ['X2', 'X1', 'X4', 'X1', 'X4', 'X2']


 CASO : 305 -> ['X2', 'X1', 'X4', 'X1', 'X4', 'X4']


 CASO : 306 -> ['X2', 'X1', 'X4', 'X2', 'X1', 'X1']


 CASO : 307 -> ['X2', 'X1', 'X4', 'X2', 'X1', 'X2']


 CASO : 308 -> ['X2', 'X1', 'X4', 'X2', 'X1', 'X4']


 CASO : 309 -> ['X2', 'X1', 'X4', 'X2', 'X2', 'X1']


 CASO : 310 -> ['X2', 'X1', 'X4', 'X2', 'X2', 'X2']


 CASO : 311 -> ['X2', 'X1', 'X4', 'X2', 'X2', 'X4']


 CASO : 312 -> ['X2', 'X1', 'X4', 'X2', 'X4', 'X1']


 CASO : 313 -> ['X2', 'X1', 'X4', 'X2', 'X4', 'X2']


 CASO : 314 -> ['X2', 'X1', 'X4', 'X2', 'X4', 'X4']


 CASO : 315 -> ['X2', 'X1', 'X4', 'X4', 'X1', 'X1']


 CASO : 316 -> ['X2', 'X1', 'X4', 'X4', 'X1', 'X2']


 CASO : 317 -> ['X2', 'X1', 'X4', 'X4', 'X1', 'X4']


 CASO : 318 -> ['X2', 'X1', 'X4', 'X4', 'X2', 'X1']


 CASO : 319 -> ['X2', 'X1', 'X4', 'X4', 'X2', 'X2']


 CASO : 320 -> ['X2', 'X1', 'X4', 'X4', 'X2', 'X4']


 CASO : 321 -> ['X2', 'X1', 'X4', 'X4', 'X4', 'X1']


 CASO : 322 -> ['X2', 'X1', 'X4', 'X4', 'X4', 'X2']


 CASO : 323 -> ['X2', 'X1', 'X4', 'X4', 'X4', 'X4']


 CASO : 324 -> ['X2', 'X2', 'X1', 'X1', 'X1', 'X1']


